[info] [17220] [Rendering] : Create Texture : 2407820326624
[info] [17220] [Rendering] : Create Screen : 2407820316688
[info] [17220] [Rendering] : Create Texture : 2407819967008
[info] [17220] [Rendering] : Create Screen : 2407820326624
[info] [17220] [Rendering] : Create Texture : 2407820332144
[info] [17220] [Rendering] : Create Screen : 2407820326624
[info] [17220] [Rendering] : Create Texture : 2407819954864
[info] [17220] [Rendering] : Create Screen : 2407820326624
[info] [17220] [Rendering] : Create Texture : 2407820308960
[info] [17220] [Rendering] : Create Screen : 2407820326624
[info] [17220] [Rendering] : Create Texture : 2407819973632
[info] [17220] [Rendering] : Create Screen : 2407820334352
[info] [17220] [Rendering] : Create Texture : 2407820326624
[info] [17220] [Rendering] : Create Screen : 2407820334352
[info] [17220] [Rendering] : Create Texture : 2407819963696
[info] [17220] [Rendering] : Create Screen : 2407819954864
[info] [17220] [Rendering] : Create Texture : 2407819975840
[info] [17220] [Rendering] : Create Screen : 2407819817664
[info] [17220] [Rendering] : Create Texture : 2407819818768
[info] [17220] [Rendering] : Create Screen : 2407819819872
[info] [17220] [Rendering] : Create Texture : 2407819817664
[info] [17220] [Rendering] : Create Screen : 2407820334352
[info] [17220] [Rendering] : Create Texture : 2407819819872
[info] [17220] [Rendering] : Create Screen : 2407958827968
[info] [17220] [Rendering] : Create Texture : 2407958829072
[info] [17220] [Rendering] : Create Screen : 2407958827968
[info] [17220] [Rendering] : Create Texture : 2407958830176
[info] [17220] [Rendering] : Create Screen : 2407737813552
[info] [17220] [Rendering] : Create Texture : 2407737838944
[info] [17220] [Rendering] : Create Screen : 2407737820176
[info] [17220] [Rendering] : Create Texture : 2407737826800
[info] [17220] [Rendering] : Create Screen : 2407737814656
[info] [17220] [Rendering] : Create Texture : 2407737813552
[info] [17220] [Engine] : ratio : 0.499482
[info] [17220] [Rendering] : Create Screen : 2407737833424
[info] [17220] [Rendering] : Create Texture : 2407737829008
[info] [17220] [Rendering] : Create Screen : 2407737834528
[info] [17220] [Rendering] : Create Texture : 2407737826800
[info] [17220] [Rendering] : Create Screen : 2407737844464
[info] [17220] [Rendering] : Create Texture : 2407737833424
[info] [17220] [Rendering] : Create Screen : 2407737821280
[info] [17220] [Rendering] : Create Texture : 2407737822384
[info] [17220] [Engine] : ratio : 0.499481
[info] [17220] [Rendering] : Create Screen : 2407737813552
[info] [17220] [Rendering] : Create Texture : 2407737831216
[info] [17220] [Rendering] : Create Screen : 2407737841152
[info] [17220] [Rendering] : Create Texture : 2407737825696
[info] [17220] [Rendering] : Create Screen : 2407737835632
[info] [17220] [Rendering] : Create Texture : 2407737813552
[info] [17220] [Rendering] : Create Screen : 2407737838944
[info] [17220] [Rendering] : Create Texture : 2407737833424
[info] [17220] [Engine] : ratio : 0.499363
[info] [17220] [Rendering] : Create Screen : 2407737815760
[info] [17220] [Rendering] : Create Texture : 2407737838944
[info] [17220] [Rendering] : Create Screen : 2407737815760
[info] [17220] [Rendering] : Create Texture : 2407737820176
[info] [17220] [Rendering] : Create Screen : 2407737815760
[info] [17220] [Rendering] : Create Texture : 2407737831216
